,A,B,C,D,E,F
1,12,20,21,18,11,18
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0

,A,B,C,D,E,F
1,12,20,21,18,0,18
2,1,2,1,5,0,2
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0

,A,B,C,D,E,F
1,0,20,21,18,0,18
2,0,6,3,7,0,3
3,0,3,0,1,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0

,A,B,C,D,E,F
1,0,20,21,18,0,0
2,0,12,6,12,0,1
3,0,5,2,2,0,0
4,0,0,1,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0

,A,B,C,D,E,F
1,0,20,1,18,0,0
2,0,18,3,18,0,1
3,0,11,1,5,0,0
4,0,1,0,1,0,0
5,0,1,0,1,0,0
6,0,0,0,0,0,0

